assignment_id,module_id,title,description,due_date,max_points,is_group,status,created_at
asn_001,mod_001,Foundation Design Portfolio,Create a comprehensive portfolio showcasing basic design principles and visual hierarchy.,2024-05-15 15:59:00+00,100,false,completed,2024-01-08 01:00:00+00
asn_002,mod_002,Digital Media Presentation,Develop a multimedia presentation exploring digital storytelling techniques.,2024-05-20 15:59:00+00,100,true,completed,2024-01-10 06:30:00+00
asn_003,mod_003,Visual Communication Campaign,Design a complete visual communication campaign for a local NGO.,2024-05-18 15:59:00+00,120,true,completed,2024-01-12 03:15:00+00
asn_004,mod_004,Typography Specimen Book,Create a comprehensive typography specimen showcasing different typeface families.,2024-05-22 15:59:00+00,100,false,completed,2024-01-09 08:45:00+00
asn_005,mod_005,Color Psychology Study,Research and present findings on color psychology in brand design.,2024-05-17 15:59:00+00,100,false,completed,2024-01-11 02:20:00+00
asn_006,mod_006,Brand Marketing Strategy,Develop a comprehensive marketing strategy for a startup brand.,2024-05-25 15:59:00+00,100,true,completed,2024-01-14 05:00:00+00
asn_007,mod_007,Interactive Prototype,Design and prototype an interactive digital experience.,2024-11-15 15:59:00+00,120,true,completed,2024-07-08 01:30:00+00
asn_008,mod_008,Advanced Visual Identity,Create a complete visual identity system for a cultural organization.,2024-11-18 15:59:00+00,100,false,completed,2024-07-10 06:00:00+00
asn_009,mod_009,Print Media Campaign,Design a multi-format print advertising campaign.,2024-11-20 15:59:00+00,100,true,completed,2024-07-12 03:45:00+00
asn_010,mod_010,Responsive Website Design,Create a fully responsive website for a local business.,2024-11-22 15:59:00+00,120,false,completed,2024-07-09 08:15:00+00
asn_011,mod_011,Brand Identity Redesign,Redesign an existing brand identity with comprehensive guidelines.,2024-11-17 15:59:00+00,100,false,completed,2024-07-11 02:30:00+00
asn_012,mod_012,Project Management Case Study,Analyze and present a real-world project management scenario.,2024-11-25 15:59:00+00,100,true,completed,2024-07-14 05:20:00+00
asn_013,mod_013,UX Research & User Journey,Conduct comprehensive user research and create detailed user journey maps for a mobile app.,2025-05-15 15:59:00+00,120,true,completed,2025-01-08 01:15:00+00
asn_014,mod_014,Mobile App UI Design,Design a complete mobile application interface with user testing validation.,2025-05-18 15:59:00+00,100,false,completed,2025-01-10 06:45:00+00
asn_015,mod_015,Customer Experience Audit,Perform a comprehensive CX audit for an existing service and propose improvements.,2025-05-20 15:59:00+00,100,true,completed,2025-01-12 03:30:00+00
asn_016,mod_016,High-Fidelity Prototype,Create an interactive high-fidelity prototype using advanced prototyping tools.,2025-05-22 15:59:00+00,120,false,completed,2025-01-09 08:00:00+00
asn_017,mod_017,Design Research Project,Conduct original design research using ethnographic methods and present findings.,2025-05-17 15:59:00+00,100,true,completed,2025-01-11 02:45:00+00
asn_018,mod_018,AI-Powered Design Tool,Explore and create a project using AI tools in the design process.,2025-05-25 15:59:00+00,100,false,completed,2025-01-14 05:15:00+00
asn_019,mod_019,Advanced UX Case Study,Develop a comprehensive UX case study documenting the complete design process.,2025-11-15 15:59:00+00,120,false,submitted,2025-07-08 01:00:00+00
asn_020,mod_020,Product Design Strategy,Create a complete product design strategy including market analysis and user validation.,2025-11-18 15:59:00+00,120,true,submitted,2025-07-10 06:30:00+00
asn_021,mod_021,Interactive Design System,Build a comprehensive design system with interactive components and documentation.,2025-11-20 15:59:00+00,100,true,ongoing,2025-07-12 03:15:00+00
asn_022,mod_022,Professional Portfolio,Curate and present a professional design portfolio ready for industry presentation.,2025-11-22 15:59:00+00,100,false,ongoing,2025-07-09 08:45:00+00
asn_023,mod_023,Usability Testing Report,Conduct comprehensive usability testing and present actionable insights.,2025-11-17 15:59:00+00,100,false,ongoing,2025-07-11 02:20:00+00
asn_024,mod_024,Digital Campaign Analytics,Analyze digital marketing campaign performance and optimize for better results.,2025-11-25 15:59:00+00,100,false,ongoing,2025-07-14 05:00:00+00
